_id.courseId,_id.sectionId,_id.unitId,user,start_time,end_time,total_time
28,1,10,13997,2018-03-26T10:04:34.333Z,2018-03-26T10:04:42.881Z,8548
28,1,10,14000,2018-03-27T14:01:20.870Z,2018-03-27T14:02:27.760Z,66890
28,1,10,14000,2018-03-27T14:18:23.320Z,2018-03-27T14:18:41.801Z,18481
28,1,10,14000,2018-03-27T14:18:45.240Z,2018-03-27T14:19:06.871Z,21631
28,1,10,14000,2018-03-29T13:09:04.227Z,2018-03-29T13:09:57.326Z,53099
28,1,10,13793,2018-03-30T21:29:32.023Z,2018-03-30T21:30:26.968Z,54945
28,1,10,13793,2018-03-30T21:47:38.312Z,2018-03-30T21:47:41.626Z,3314
28,1,10,1374,2018-03-31T14:51:19.116Z,2018-03-31T15:10:55.617Z,1176501
28,1,10,14163,2018-04-01T18:53:32.342Z,2018-04-01T18:53:33.338Z,996
28,1,10,14172,2018-04-02T05:06:00.168Z,2018-04-02T05:06:27.447Z,27279
28,1,10,14015,2018-04-04T11:40:29.833Z,2018-04-04T11:40:39.519Z,9686
28,1,10,14280,2018-04-07T07:21:46.139Z,2018-04-07T07:22:26.431Z,40292
28,1,10,14282,2018-04-07T09:48:08.673Z,2018-04-07T09:49:21.086Z,72413
28,1,10,14282,2018-04-07T09:49:26.998Z,2018-04-07T09:52:34.990Z,187992
28,1,10,14282,2018-04-07T11:36:13.095Z,2018-04-07T11:36:22.074Z,8979
28,1,10,13813,2018-04-07T13:13:20.031Z,2018-04-07T13:13:21.112Z,1081
28,1,10,13813,2018-04-07T13:13:59.124Z,2018-04-07T13:13:59.706Z,582
28,1,10,13566,2018-04-09T12:23:49.944Z,2018-04-09T12:24:24.648Z,34704
28,1,10,6000,2018-04-09T16:14:09.957Z,2018-04-09T16:14:42.976Z,33019
28,1,10,6000,2018-04-09T16:18:26.180Z,2018-04-09T16:18:26.995Z,815
28,1,10,6000,2018-04-09T16:20:33.565Z,2018-04-09T16:20:34.233Z,668
28,1,10,6000,2018-04-09T17:02:22.266Z,2018-04-09T17:02:30.509Z,8243
28,1,10,6000,2018-04-09T17:59:23.533Z,2018-04-09T17:59:24.330Z,797
28,1,10,1079,2018-04-09T22:35:38.925Z,2018-04-09T22:35:39.217Z,292
28,1,10,14373,2018-04-10T20:40:17.072Z,2018-04-10T20:44:21.199Z,244127
28,1,10,1079,2018-04-11T07:28:07.513Z,2018-04-11T07:30:13.115Z,125602
28,1,10,14002,2018-04-11T10:59:45.875Z,2018-04-11T11:00:29.817Z,43942
28,1,10,14002,2018-04-11T11:11:20.353Z,2018-04-11T11:13:53.920Z,153567
28,1,10,1079,2018-04-15T20:22:37.441Z,2018-04-15T20:26:34.725Z,237284
28,1,10,14535,2018-04-16T08:55:17.047Z,2018-04-16T08:55:43.713Z,26666
28,1,10,14541,2018-04-16T11:27:08.242Z,2018-04-16T11:27:28.645Z,20403
28,1,10,14429,2018-04-16T17:46:36.660Z,2018-04-16T17:48:11.371Z,94711
28,1,10,1629,2018-04-17T02:15:30.926Z,2018-04-17T02:21:51.120Z,380194
28,1,10,14551,2018-04-17T06:24:07.664Z,2018-04-17T06:24:13.228Z,5564
28,1,10,14429,2018-04-17T17:15:12.134Z,2018-04-17T17:17:11.332Z,119198
28,1,10,14429,2018-04-17T17:19:59.571Z,2018-04-17T17:20:20.456Z,20885
28,1,10,14499,2018-04-18T06:08:58.734Z,2018-04-18T06:17:37.927Z,519193
